id,question1,question2,is_duplicate,CosineSimilarity,JaccardSimilarity,Levenshtein,DiceSimilarity
108902,good library/reading room mumbai one sit laptop recharging allowed ?,good libraries mumbai ?,0,0.0,0.0,47,0.7777777777777778
108903,short china real estate ?,india part rcep already fta members bloc except china ?,0,0.0,0.0,41,0.7878787878787878
108904,currently studying ca even liking investment banking . way pursue ?,"repeat sentence , finish 3-4 sec , hit next timed due non activity 3 sec ? approach ?",0,0.06897171389271889,0.0,61,0.6956521739130435
108905,worst things happening world right everyone know ?,worst thing world 2016 ?,0,0.0,0.0,30,0.7222222222222222
108906,people draw ?,people draw ?,0,0.0,0.0,0,1.0
108907,join porn industry transgender male ?,male cope oversexed ?,0,0.0,0.0,28,0.6875
108908,poke mean facebook ?,mean poke someone facebook ? poke someone facebook ?,1,0.0,0.0,32,0.96
108909,life russian american us cold war ?,life german american world war 2 ?,0,0.054538900618435505,0.0,12,0.875
108910,air 25℃ feels warmer water 25℃ ?,water feel colder air ?,0,0.0,0.0,19,0.7142857142857143
108911,great side dish ideas salmon ?,great side dish ideas egg rolls ?,0,0.0,0.0,8,0.9285714285714286
108912,anyone hack clash clans ?,hack : clash clans ?,1,0.0,0.0,9,0.8181818181818182
108913,school changing 21st century norway ?,school changing 21st century japan ?,0,0.0,0.0,5,0.9230769230769231
108914,differences whipping cream heavy cream uses given ?,"difference cream , regular whipping cream , heavy whipping cream ?",1,0.0,0.0,33,0.9230769230769231
108915,best halloween costumes cats ?,best halloween costumes dogs ?,0,0.0,0.0,3,0.9375
108916,bridgewater associates ' employee performance review like ?,nike performance reviews ?,0,0.0,0.0,36,0.8205128205128205
108917,many facebook users ?,many facebook users pets ?,0,0.0,0.0,5,0.9375
108918,much charge sugar daddy ?,possible become sugar baby age 16 ? meet sugar daddies ?,0,0.0,0.0,37,0.7272727272727273
108919,best indian tv shows ?,indian tv shows might help improve english ?,0,0.0,0.0,32,0.8125
108920,rate expansion universe accelerating ?,expansion universe accelerating ?,1,0.0,0.0,5,1.0
108921,one tell facility military engg services ?,one thing n't tell working engineering sector ?,0,0.0,0.0,32,0.7272727272727273
108922,"motion-capture , re-targeting mean ?",average cost per hour use motion capture studio ?,0,0.0,0.0,38,0.8235294117647058
108923,increase content writing skill ?,could improve writing skill ?,1,0.0,0.0,14,0.8235294117647058
108924,win ballon d'or 2017 ?,next lionel messi cristiano ronaldo win ballon d'or ? era end ?,0,0.0,0.0,45,0.7058823529411765
108925,people afraid truth ?,people afraid truth ?,0,0.0,0.0,0,1.0
108926,country best cuisine ?,opinion country best cuisine ?,1,0.0,0.0,8,0.9629629629629629
108927,"significance battle somme , battle compare contrast battle hong kong ?",significance battle somme ?,1,0.0,0.0,43,0.8571428571428571
108928,differences dynamic programming greedy ?,"practised first , greedy algorithms dynamic programming ?",0,0.0,0.0,37,0.8888888888888888
108929,individuals events history source pride sudan ?,individuals events history source pride são tomé príncipe ?,0,0.0,0.0,15,0.9
108930,important humans make attempt keep species extinction species come extinction eventually ?,important protect species extinction ?,1,0.0,0.0,55,0.8235294117647058
108931,calculate speed light ?,calculate speed ?,0,0.0,0.0,6,0.88
108932,live married life introvert constantly needs alone recharge ?,better live life alone ?,0,0.0,0.0,43,0.75
108933,determine lewis structure glucose ?,determine lewis structure o2 ?,0,0.0,0.0,6,0.9375
108934,best torrent site audiobooks ?,best audiobook sites ?,0,0.0,0.0,18,0.9230769230769231
108935,nitrogenated bases ?,nitrogenous bases used molecules ?,0,0.0,0.0,18,0.8666666666666667
108936,find love ?,find love ?,0,0.0,0.0,0,1.0
108937,concentrate particular thing ?,focus one thing ?,1,0.0,0.0,19,0.7857142857142857
108938,"drive edmonton auckland described , cities ' attractions compare ottawa ?","drive edmonton auckland described , cities ' attractions compare calgary ?",1,0.0,0.0,6,0.9333333333333333
108939,beautiful waterfalls world ?,beautiful places world ?,0,0.0,0.0,8,0.9375
108940,"sexuality : percentage married men/women masturbate , often ?","married women think men sexually , much ?",0,0.0,0.0,44,0.8260869565217391
108941,makes think loser ?,makes someone loser ?,0,0.0,0.0,6,0.88
108942,reason close eyes sneeze ?,close eyes sneeze ?,1,0.0,0.0,7,0.9090909090909091
108943,hypotheses theories explain first virus created ?,"mac got virus . remember said porn virus . , get , real scam ?",0,0.0,0.0,42,0.7804878048780488
108944,get govt college marks 454 neet- haryana domicile general category ?,shahrukh khan illuminati ?,0,0.0,0.0,55,0.6857142857142857
108945,longest roller coaster united kingdom compare longest roller coaster singapore ?,longest roller coaster united kingdom compare longest roller coasters countries ?,0,0.0,0.0,9,1.0
108946,omr sheets evaluated afcat ?,get addmission 12 2 year gap hse bord ?,0,0.0,0.2222222222222222,32,0.6285714285714286
108947,black money gon na go longer use 500 1000 notes ?,would demonetizing 500 1000 rupee notes introducing new 2000 rupee notes help curb black money corruption ?,1,0.0,0.0,81,0.851063829787234
108948,minimum population limit form municipality ?,many population need municipality ?,0,0.0,0.0,15,0.8666666666666667
108949,much time need spend quora become top writer ?,become top writer quora ?,1,0.0,0.0,33,0.8823529411764706
108950,cultural relativism ?,criticisms cultural relativism ?,0,0.0,0.0,11,1.0
108951,u.s. resume talk russia syria u.s. announced `` stop talking russia '' suffered failure un ?,"significantly harder vegetarian countries like chile , japan , russia compared u.s. , despite countries lower meat consumption u.s. ?",0,0.0,0.0,102,0.8571428571428571
108952,killed 100 million indians north america ?,"bangladeshis look similar south indians north indians ? yes , ?",0,0.0,0.0,37,0.7894736842105263
108953,state australia speaks pure hindi ?,"want target specific section market india , speaks hindi . tools send bulk sms 's hindi ?",0,0.0,0.0,63,0.75
108954,make rabbit fur jacket ?,"many rabbit skins would needed one person rabbit skin hat , rabbit skin blanket , rabbit skin jacket , rabbit skin slippers ?",0,0.0,0.0,103,0.7027027027027027
108955,judicial branch responsible ?,responsibilities judicial branch ?,1,0.0,0.0,29,0.9714285714285714
108956,apply job trump administration ?,", actually go applying job incoming trump administration ?",1,0.0,0.0,26,0.918918918918919
108957,find peace life ?,find peace life ?,1,0.0,0.0,0,1.0
108958,best way reduce belly arm fat ?,reduce belly fat easily ?,1,0.0,0.0,17,0.9032258064516129
108959,ielts classes best mumbai ?,best class cfp mumbai ?,0,0.0,0.0,9,0.9230769230769231
108960,donald trump 's victory mean graduate students islamic countries ?,trump 's win affect matriculation students wish graduate usa ?,1,0.0,0.0,40,0.8780487804878049
108961,talk crush less ? normal ignore crush ?,feel ignored crush ?,0,0.0,0.0,23,0.8125
108962,caught masturbating ?,ever caught someone masturbating ?,1,0.0,0.0,13,0.9032258064516129
108963,c preferred languages microcontroller programing ?,c considered machine efficient high-level languages ? c chosen languages writing system programs ?,0,0.0,0.0,67,0.8780487804878049
108964,boost cell phone signal car ?,boost cell phone signal home ?,0,0.0,0.0,4,0.9375
108965,avoid sleeping studying ?,ways avoid sleeping work ?,0,0.11433581794573018,0.0,13,0.8484848484848485
108966,learn stop saying words head reading ?,mind : stop saying words head read ?,1,0.0,0.0,9,0.9142857142857143
108967,"laws getting green card due marriage us , compare green card laws canada ?","laws getting green card due marriage us , compare green card laws japan ?",0,0.02949618845677553,0.0,4,0.9743589743589743
108968,india performing bad olympics ?,"despite billion people , india bad olympics ? india lack talent ?",1,0.042817583562750755,0.0,43,0.8333333333333334
108969,girl replying messages ?,"best way reply girl asks , 'who ' message ?",0,0.0,0.0,27,0.7272727272727273
108970,"much money make youtube video 5,000 views ?",much youtube pay per subscriber ?,0,0.0,0.0,27,0.7368421052631579
108971,"happened many times , whenever see girl , adjust clothes.what mean ?",heard guys saying hard time keeping server up/or crashing . actually mean . ?,0,0.0,0.0,55,0.8936170212765957
108972,happens mix red green paint ?,happens mix green purple paint ?,0,0.0,0.0,8,0.9032258064516129
108973,"read one cardinal speak fluency 72 languages , possible ? brain allow us learn many languages ?",loss trump cohen vs trump enough get impeached ?,0,0.03028039735479343,0.0,74,0.7441860465116279
108974,opinion pm narendra modi 's decision ban inr 500 inr 1000 notes ?,views modi governments decision demonetize 500 1000 rupee notes ? affect economy ?,1,0.0,0.0,56,0.7906976744186046
108975,"come conflict interest laws regarding vice president 's ( cheney ) ability alter clean water act way enables company ( halliburton ) profit relaxed regulation , would take pass one ?",donald trump likely choose vice president ?,0,0.02584193489031426,0.0,154,0.8163265306122449
108976,best colleges electrical engineering ?,good colleges electrical engineering ?,1,0.0,0.0,4,0.9285714285714286
108977,long take get u.s. passport ?,long take renew u.s. passport ?,0,0.07915970051936962,0.0,4,0.967741935483871
108978,,questions ask drdummer ?,0,0.0,0.0,24,0.0
108979,would explain computer great grandmother ?,use assimil japanese ease ?,0,0.0,0.0,30,0.6451612903225806
108980,listen tv 's audio using bluetooth ?,use bluetooth audio imo ?,0,0.0,0.0,25,0.8387096774193549
108981,sentence grammatically correct ? used hard work .,sentence `` 'm work '' grammatically correct ?,0,0.0,0.0,31,0.85
108982,clean fatty pancreas ?,clean pancreas ?,1,0.0,0.0,6,0.8695652173913043
108983,n't white americans called european americans ?,"african americans , hispanic americans , asian americans , native americans , n't white people called euro americans ?",1,0.0,0.0,82,0.926829268292683
108984,negatives proven professionals masturbation ?,effects masturbation ?,1,0.0,0.0,26,0.8484848484848485
108985,requirements selection mit ?,get admitted mit ?,1,0.0,0.0,18,0.5217391304347826
108986,guy teases mean likes ?,tease guy tied bed ?,0,0.0,0.0,15,0.7692307692307693
108987,company vietnam give macbook new developer ?,linux based os great boot ?,0,0.0,0.0,35,0.7222222222222222
108988,use vpn downloading torrents get caught ?,μtorrent : vpn keep someone 's identity anonymous downloading torrents ?,0,0.0,0.0,53,0.8095238095238095
108989,football players get boner soccer goal ?,different types cellular transport work ?,0,0.0,0.0,32,0.8
108990,shave bikini line ?,safest way shave bikini area ?,1,0.0,0.0,15,0.7857142857142857
108991,donald trump hilary clinton would win ?,next president usa : hillary clinton donald trump ?,1,0.0,0.0,26,0.8648648648648649
108992,write proposal ngo ?,write proposal ?,0,0.0,0.0,4,0.9230769230769231
108993,estimate competition ?,best way estimate ?,0,0.0,0.0,14,0.6956521739130435
108994,tqwl tickets confirmd easily ?,tqwl different ckwl ( tatkal waiting list ) ?,0,0.0,0.0,30,0.8421052631578947
108995,laptop intel ( r ) core ( tm ) dual core i5-3337u cpu @ 1.80ghz 3mb smart cache 4gb ram . good data scientists big data ?,laptop intel core i5-3337u @ 1.80ghz . many instructions perform second ?,0,0.0,0.0,72,0.9032258064516129
108996,best movies time ?,best indian movies ever made ?,0,0.0,0.0,14,0.8333333333333334
108997,one deal depression ?,get rid depression ?,1,0.0,0.0,7,0.8333333333333334
108998,like indian living copenhegan ?,feel like indian denmark ?,0,0.0,0.0,20,0.6666666666666666
108999,clear console screen ( cmd screen ) java ? function java like ( clrscr ) system ( cls ) c ?,way clear eclipse console using java ?,0,0.0,0.0,70,0.75
109000,better : dell i7 7500u 8g ram dell i7 6500u 16g ram ?,"better , dell i7 7500u 8g ram , dell i7 6500u 16g ram ?",1,0.0,0.0,3,0.95
109001,super power ?,would like super powers real ?,0,0.0,0.0,17,0.782608695652174
109002,find producer music ?,produce musical ?,0,0.0,0.0,8,0.8571428571428571
109003,number get multiply numbers telephone 's number pad ?,app hack cell phone phone number ?,0,0.0,0.0,33,0.7428571428571429
109004,react girl says : love ?,respond says love ?,1,0.0,0.0,10,0.7142857142857143
109005,narcissist actually fall love someone else ?,narcissist fall love ?,1,0.0,0.0,22,0.9032258064516129
109006,prepare iit-jee ?,best iit jee coaching classes india ?,0,0.0,0.0,30,0.5384615384615384
109007,best institute certification logistics supply chain management ?,important courses degree logistics supply chain management ?,0,0.0,0.0,24,0.9230769230769231
109008,corporate culture like b & g foods ? culture different companies ?,corporate culture like whitewave foods ? culture different companies ?,0,0.0,0.0,9,0.8571428571428571
109009,make box put phone n't want microphone listen conversations ?,hh,0,0.0,0.0,59,0.08695652173913043
109010,done far engage interests engineering ?,done far engage interests engineering ?,1,0.0,0.0,0,1.0
109011,best quickbooks error support number ?,best intuit quickbooks support plans ?,1,0.0,0.0,19,0.9090909090909091
109012,difference cryonics cryogenics ?,'s difference cryonics cryogenics ?,1,0.0,0.0,3,0.9629629629629629
109013,become mormon ?,become mormon ?,0,0.0,0.0,0,1.0
109014,"rest world think america , words , america perceived countries ?",countries really think united states america ?,1,0.0,0.0,47,0.8717948717948718
109015,safest place visit southern india girl travelling alone ?,safe woman travel alone india ?,0,0.028350457658894886,0.0,40,0.8
109016,top desktop backgrounds ?,best desktop backgrounds ?,1,0.0,0.0,4,1.0
109017,say goodbye therapist ?,best way say goodbye ?,0,0.0,0.0,19,0.8148148148148148
109018,"'ve recently started working , 'm still school tips manage time better ?",feeling low life want start fresh . want manage time better concentrate better work hand work fitness . go ?,0,0.0,0.0,79,0.8444444444444444
109019,clues girl leaves likes ?,know girl likes ?,1,0.0,0.0,12,0.72
109020,much monthly salary good live mumbai decently family able save ?,much salary required family four live good life mumbai ?,1,0.0,0.0,44,0.926829268292683
109021,circumstances ever likely ppf bow towards origin ?,circumstances would production possibility curve bowed towards origin ?,0,0.0,0.0,30,0.9545454545454546
109022,game designing good field pursue bachelors computer science ?,ac repair people men women ?,0,0.0,0.0,44,0.7272727272727273
109023,beta b ?,beta investing ?,0,0.0,0.0,9,0.7058823529411765
109024,"common examples non-vascular plants , compare contrast green algae ?","common examples non-vascular plants , compare contrast ferns ?",0,0.0,0.0,9,0.9473684210526315
109025,quora improved life ?,quora help something life ?,1,0.0,0.0,11,0.7878787878787878
109026,right way drink water much water drink adult per day ?,much water drink per day ?,1,0.0,0.0,28,0.9444444444444444
109027,tell someone kill person accident ?,"someone claims sheer force , personally cause universe exist , prevent turning toad , whatever , refute disprove without killing ?",0,0.0,0.0,107,0.7804878048780488
109028,question `` best white american nba players position 2010 '' offensive ?,best white american nba players position 2010 ?,0,0.0,0.0,25,0.875
109029,star wars harry potter bigger franchise ?,bigger franchise universe : harry potter star wars ?,1,0.0,0.0,34,0.9230769230769231
109030,painlessly kill ?,"would sure shot , painless way kill ?",1,0.0,0.0,21,0.7333333333333333
109031,nonstick pans really dangerous pet birds ?,pet bird trained live without cage fly away ?,0,0.0,0.0,36,0.85
109032,places japan find psychedelic culture ?,culture japan : basis shinto religion ?,0,0.0,0.0,27,0.8108108108108109
109033,genetic engineering ?,genetic engineering done ?,0,0.0,0.0,5,0.9
109034,mechanical engineer ?,mechanical engineer ?,0,0.0,0.0,0,1.0
109035,gail joseph got tv show `` friends '' ?,download season 1 10 friends english ?,0,0.0,0.0,29,0.7894736842105263
109036,best laptop 60k ( 900 $ approx ) ?,best laptop rs60000 ?,1,0.0,0.0,18,0.8125
109037,score kvpy sa 2016 ( aptitude test ) ? expected cutoff ?,expected cut kvpy sa 2016 ?,1,0.0,0.0,45,0.8571428571428571
109038,examples information technology ?,information technology ? examples ?,1,0.0,0.0,20,1.0
109039,"n't indians shame incompetent anything , excepts simply coping western style dysfunctional democracy ?",n't educated indians revolt dysfunctional caste democracy rule bring true democracy india ?,0,0.0,0.0,74,0.8444444444444444
109040,business analyst job company ?,role business analyst company ?,1,0.0,0.0,9,0.9411764705882353
109041,become professional ios developer ?,become ios developer ?,1,0.0,0.0,13,0.9032258064516129
109042,expressing class prejudice illegal prejudice ?,dating prejudice asian men ?,0,0.0,0.0,27,0.875
109043,renren 's audit committee chair resign 2 days ipo ?,investors concerned renren 's audit committee chair resigned 2 days ipo ?,0,0.0,0.0,22,0.975609756097561
109044,read balance sheet company ?,read balance sheet ?,1,0.0,0.0,8,0.8666666666666667
109045,become physicist ?,one become mathematical physicist ?,0,0.0,0.0,17,0.896551724137931
109046,tom like jerry ?,tom jerry die ?,0,0.0,0.0,9,0.8695652173913043
109047,traffic laws mali particularly hard foreign drivers get used ?,traffic laws canada particularly hard foreign drivers get used ?,0,0.0,0.06666666666666665,5,0.9767441860465116
109048,good ximb rural management ?,scope rural management india type job provided ?,0,0.0,0.0,32,0.8108108108108109
109049,someone become professional tv film critic ?,individual become online film critic ?,1,0.0,0.0,22,0.8823529411764706
109050,romans religion adopting greeks ? ?,greek/roman gods depicted fair ?,0,0.0,0.0,28,0.8823529411764706
109051,priyanka gandhi forced engineering ?,information technology beneficial public representatives ?,0,0.0,0.0,45,0.7567567567567568
109052,schedule fedex pickup phone ?,schedule fedex pickup n't account ?,0,0.0,0.0,9,0.9142857142857143
109053,secure android request server ?,build android sdk parse server ?,0,0.0,0.0,14,0.7741935483870968
109054,"found post interviewing google , still refer google employment ?",difference matriya mettaya ?,0,0.0,0.0,49,0.6666666666666666
109055,anyone problems getting refund turkish airlines ?,food allergies : anyone reading personally problem msg ?,0,0.0,0.0,42,0.8717948717948718
109056,debate hillary trump ?,"2016 presidential election , first debate hillary clinton donald trump ?",1,0.0,0.0,50,0.75
109057,best tech startup networking events/meetups gurgaon ?,best tech startup networking events / meetups boston ?,0,0.0,0.0,7,1.0
109058,mean says 'needs time ' ?,mean says needs focus ?,1,0.0,0.0,7,0.72
109059,black people prejudiced chinese people ?,black people still suffer racism america ? discrimination colored people still exist？,0,0.0,0.0,56,0.8205128205128205
109060,become mentally strong ?,become strong mentally ?,1,0.0,0.0,14,1.0
109061,know big box stores like walmart target put non-food items clearance ?,get boxes moving stores like walmart ?,0,0.0,0.0,49,0.8292682926829268
109062,americans ( us ) think indians ?,americans think indians india ?,1,0.06755770588266767,0.0,13,0.9032258064516129
109063,innovative ideas environmental sustainability ?,innovative ideas sustainable design construction ?,0,0.0,0.0,27,0.8823529411764706
109064,sound space ?,sound space ?,0,0.0,0.0,0,1.0
109065,emotional abuse ?,'s definition emotional abuse ?,1,0.0,0.0,14,0.896551724137931
109066,google pixel vs iphone 7 among sustain brand competitive smartphone market ?,one opt amongst google pixel & iphone 7 ?,1,0.07154991231376254,0.0,51,0.8
109067,would ryan lochte gain lying ?,would ryan lochte lie getting robbed cops ?,1,0.0,0.0,19,0.918918918918919
109068,n't anyone charge orlando nightclub shooter ?,n't group patrons pulse nightclub orlando rush overwhelm shooter ?,1,0.0,0.0,36,0.8780487804878049
109069,five ways would classify people personality ?,ways clothes reflect personality ?,0,0.0,0.0,22,0.8888888888888888
109070,find school provides best education tennis coaching india india ?,"buy best school bags , backpacks college bags india ?",0,0.05859020184233396,0.0,44,0.85
109071,common mistakes driving stick ?,common people drive speeds 200kph ( 125mph ) autobahn ?,0,0.0,0.0,40,0.7142857142857143
109072,instances history one party war promised attack attacked later ?,military strategy : instances infantry formed square cavalry attack american civil war ?,0,0.0,0.0,58,0.8095238095238095
109073,employees advent software good work-life balance ? differ across positions departments ?,employees guidance software good work-life balance ? differ across positions departments ?,0,0.0,0.0,7,0.9565217391304348
109074,rapper eminem ever met father ?,n't eminem grow beard ?,0,0.0,0.0,18,0.6428571428571429
109075,gambling : current bitcoin casinos survive ?,top bitcoin gambling sites ?,0,0.0,0.0,29,0.8484848484848485
109076,like listening music studying ?,listening alpha wave music studying good bad ?,0,0.1060633510581454,0.0,24,0.7777777777777778
109077,current account savings account ?,know whether account savings account current account ?,1,0.0,0.0,27,0.9032258064516129
109078,extroverts like company introverts vice versa ?,extroverts understand introverts n't vice versa ?,0,0.0,0.0,13,0.7647058823529411
109079,"worried ( prepared , protected ) rabies deadly spread easily ?","worried ( prepared , protected ) rabies , ’ deadly spread easily ?",1,0.0,0.0,4,0.9743589743589743
109080,best free ios game ?,best tapping games ios ?,0,0.0,0.0,12,0.8461538461538461
109081,hp officejet 4620 airprint compare hp color laserjet enterprise m750n ?,hp officejet 4620 airprint compare hp designjet t120 24-in printer ?,1,0.0,0.0,28,0.851063829787234
109082,great examples presence mind ?,examples presence mind ?,1,0.0,0.0,6,0.9333333333333333
109083,novels indian teen girls awareness ?,'s name controversial eighties novel teen finds girl lusts really obnoxious friend drag ?,0,0.0,0.0,62,0.7368421052631579
109084,would feel ex following cam girls ?,"like girl , 's going another guy . know n't butt , feel ca n't keep going n't tell feel . n't care n't respond feelings , want let know . tell ?",0,0.0,0.0,121,0.7441860465116279
109085,find hindi dubbed audio files english movies ?,best hindi dubbed south indian movies ?,0,0.0,0.0,19,0.875
109086,government spending spur inflation ?,government spending impact economic growth ?,0,0.0,0.0,18,0.8333333333333334
109087,lewis structure hcio2 ?,lewis structure ch2o ?,0,0.0,0.0,4,1.0
109088,sales metrics included saas company ’ salesforce dashboard ?,heard invisible muffler ?,0,0.0,0.0,47,0.8108108108108109
109089,excellent ?,excel c++ ?,0,0.0,0.0,4,0.8
109090,much urjit patel suits rbi governor : compare raghuram rajan sir ?,think urjit patel right replacement raghuram rajan ?,1,0.0,0.0,31,0.8421052631578947
109091,joker burn money dark knight ?,"dark knight , batman gordon decide blame batman two-face 's rampage , rather blame joker ?",0,0.0,0.0,74,0.7441860465116279
109092,schizophrenic people laugh blue ?,might schizophrenic laugh nothing funny happening ?,1,0.0,0.0,31,0.8648648648648649
109093,possible formats usps tracking numbers ?,track us priority mail package without tracking number ?,0,0.0,0.0,33,0.9
109094,define newtonian fluids ?,elder care netherlands ?,0,0.0,0.0,17,0.6923076923076923
109095,advantages clearing ntse ?,advantages ntse scholar ?,0,0.0,0.0,13,0.896551724137931
109096,cops bother give tickets rain ?,"park illegally , give fake ticket , would happen ?",0,0.0,0.0,32,0.7692307692307693
109097,compound sentence ?,compound sentence ?,1,0.0,0.0,0,1.0
109098,realistically make money online ?,easy ways make done extra money online ?,1,0.0,0.0,20,0.875
109099,best text based games ?,best text-based ( adventure ) games ?,0,0.0,0.0,15,0.7586206896551724
109100,active app games like pokémon go ?,pokémon go popular ?,0,0.0,0.0,26,0.7333333333333333
109101,anime 's might like favorites following types ?,type genre following anime common may use key word search ?,0,0.0,0.0,47,0.8837209302325582
109102,17-year-old son keeps unbuttoning shirt refuses rebutton . says likes rockstar look . ?,"ten year old son asperger 's prefers always alone , rather peers even family time . happy kid - better prepare relationships 'll need form gets older order function society ?",0,0.08962563957363766,0.03703703703703709,127,0.8679245283018868
109103,possible advertise quora ?,advertise business quora ?,1,0.0,0.0,16,0.9032258064516129
109104,"someone blocks whatsapp , unblock ?",blocked people get unblocked clear whatsapp data re-login ?,0,0.0,0.0,34,0.8205128205128205
109105,people lose interest quora ?,quality questions quora declined much ?,0,0.0,0.0,31,0.8125
109106,would record voice sound coming ipad without microphone picking ipad sound ?,today 's youth toward politics ?,0,0.0,0.0,59,0.7894736842105263
109107,underrated manchester united player current squad ?,underrated manchester united player ever ?,0,0.0,0.0,12,0.9444444444444444
109108,simla deputation important step creation pakistan ?,someone teach code app ?,0,0.0,0.0,38,0.8
109109,cultural faux pas wrongplanet.net ?,cultural faux pas restaurants ?,0,0.0,0.0,12,0.875
109110,prefer : paper books e-books ? ?,like reading traditional paper books e-books ? think e-books harmful eyes ? paper books cost lot .,1,0.0,0.0,71,0.6486486486486487
109111,remove screen overlay j7 ?,stop screen overlay samsung j7 ?,1,0.0,0.0,13,0.8823529411764706
109112,quality management ?,three qualities manager ?,0,0.0,0.0,13,0.8571428571428571
109113,war happen india pakistan ?,"since pakistan nuclear weapons india , india lose war pakistan ?",0,0.04941741219239817,0.0,41,0.8125
109114,long epfo generally take generate uan number ?,explain meaning highlighted sentence ?,0,0.04705218568743774,0.0,35,0.6060606060606061
109115,proofs aliens ?,actual proof aliens ?,1,0.0,0.0,8,0.8888888888888888
109116,pokémon go spying us ?,pokemon go spying us ?,1,0.059957531672235595,0.0,1,0.9230769230769231
109117,"going give presentation among mischievous group , often finds fun everything , lowers confidence.what ?","going give presentation among mischievous group , often finds fun everything , lowers confidence.what ?",1,0.0,0.0,0,1.0
109118,"want hire someone knows jenkins , sort jenkins-specific questions ask ?",best : bamboo jenkins ci ?,0,0.03737067368776279,0.0,52,0.7027027027027027
109119,n't apple make os x available manufacturers ?,n't apple sell os x ?,1,0.0,0.0,28,0.7272727272727273
109120,'s effective way ask question quora ?,ask really great question quora ?,1,0.0,0.0,16,0.8
109121,woman educated ?,woman educated ?,1,0.0,0.0,0,1.0
109122,stock exchange started ?,start stock exchange ?,0,0.0,0.0,14,0.9655172413793104
109123,stops designers becoming entrepreneurs ?,designer become better entrepreneur ?,0,0.0,0.0,16,1.0
109124,"monetize youtube videos & upload copyright content , chances google may block account ?",upload part anime videos youtube monetize without copyright issue ?,1,0.0,0.0,65,0.9166666666666666
109125,get rid acne scars chest ?,get rid pimples permanently ?,1,0.0,0.0,16,0.7857142857142857
109126,many movies john travolta ?,"john travolta could one movie , would ?",0,0.0,0.0,30,0.8
109127,people say atheists n't morals ?,many people think atheists incapable morals ?,1,0.0,0.0,18,0.8823529411764706
109128,important thing life ?,important thing life ? categorize ?,1,0.0,0.0,13,0.9375
109129,feel depressed ?,feel depressed ?,1,0.0,0.0,0,1.0
109130,get english better ?,speak fluent english get confident ?,1,0.0,0.0,20,0.6666666666666666
109131,mistakes made jee aspirants previous years ?,top 10 mistakes jee aspirant makes ?,1,0.0,0.0,25,0.8235294117647058
109132,buy xiaomi mi tv india ?,"buy xiaomi tv ( india , talangana ) ?",0,0.03675827810589864,0.0,18,0.8484848484848485
109133,"unknown facts jarvis , a.i . tony stark ?",unknown facts bipasha basu ?,0,0.0,0.0,21,0.7428571428571429
109134,decide kids ?,decided kids ?,0,0.0,0.0,1,1.0
109135,safe israel travel ?,stay safe israel ?,1,0.0,0.0,10,0.9090909090909091
109136,5 ' 3 tall 11 year old boy ? tall ?,153cm tall 11 year old boy ? tall ?,0,0.12089163299496605,0.09090909090909094,5,0.9032258064516129
109137,vidkun quisling really hero ?,hogan 's heroes col hogan protected col klink germany 's surrender since klink n't really bad person ?,0,0.0,0.0,80,0.8
109138,people drive slowly left lane hawaii ?,people bay area highways drive slowly left lane ?,1,0.0,0.0,25,0.9473684210526315
109139,painless die sleeping pill overdose ?,islam radical expansionist policy nag 'foreign powers ' ?,0,0.0,0.0,40,0.7428571428571429
109140,quorans introverts ?,quorans introverts ?,1,0.0,0.0,0,1.0
109141,people affiliations university washington brown ?,people affiliations university washington stanford ?,0,0.0,0.0,7,0.95
109142,women want get plastic surgery look like celebrity ?,"besides looks , women get plastic surgery ?",0,0.0,0.0,38,0.9523809523809523
109143,best guide lose unwanted pounds ?,best lose weight ?,1,0.0,0.0,19,0.7857142857142857
109144,mnc : 857 863 874… ?,mnc : 857 863 874… ?,1,0.0,0.0,0,1.0
109145,morality innate learned ?,"morality come innate awareness , learned construct ?",1,0.0,0.0,27,0.8387096774193549
109146,currently youngest successful tech entrepreneur ?,youngest successful tech entrepreneur record ?,1,0.0,0.0,17,0.9696969696969697
109147,view facebook groups sidebar ?,invite people email join facebook group ?,0,0.0,0.0,30,0.7894736842105263
109148,opportunities available jnu economics ?,placements sociology jnu ?,0,0.0,0.0,28,0.8571428571428571
109149,good books economics beginners ?,great books economics beginners ?,1,0.0,0.0,4,0.896551724137931
109150,kapil sharma best comedian india ever ? ?,kapil sharma best comedian india present ?,1,0.034412704180786395,0.0,6,0.972972972972973
109151,tourist attractions scandinavian highlands compare attractions ukraine ?,tourist attractions scandinavian highlands compare attractions kosovo ?,0,0.0,0.0,6,1.0
109152,focus final ca exam ?,best way prepare ca final law audit ?,1,0.0,0.0,26,0.6875
109153,worst least talented actor game thrones ?,actors game thrones really sex ?,0,0.0,0.0,28,0.875
109154,wife try anal sex . best way approach trying ?,best way get wife trying anal ?,1,0.0,0.0,33,0.8333333333333334
109155,best educational apps teenager ?,best educational apps children ?,0,0.0,0.0,7,0.9411764705882353
109156,'s easiest way burn belly fat ?,best ways burn belly fat ?,0,0.0,0.0,8,0.9333333333333333
109157,ygeia3.com ?,owns finviz.com ?,0,0.0,0.0,10,0.56
109158,"possible god , allah , krishna , jah , yaweh , etc . `` entity '' going different names ?",islam religion somehow makes proportions followers violent people earth ?,0,0.0,0.0,70,0.782608695652174
